,concept1,concept2,pred,concept1_freq,concept2_freq,concept1_top1_field,concept1_top1_ratio,concept1_top2_field,concept1_top2_ratio,concept2_top1_field,concept2_top1_ratio,concept2_top2_field,concept2_top2_ratio,community1_id,community2_id,c1_community,c2_community
0,public health and nutrition,professional and general service design,0.749,109,38,operations,0.303,economics,0.183,service,0.579,operations,0.368,10,14,Healthcare Management & Policy,Service Operations & Design
1,human-computer interaction,service ecosystems theory and research,0.739,360,15,information_systems,0.328,marketing,0.308,service,0.733,marketing,0.2,17,3,AI & Human-Computer Interaction,Institutional & Social Studies
2,sociology and social theories,human-robot interaction,0.738,526,26,marketing,0.221,organization,0.165,service,0.654,marketing,0.154,3,17,Institutional & Social Studies,AI & Human-Computer Interaction
3,general entrepreneurship and theory,artificial intelligence and machine learning,0.738,284,100,entrepreneurship,0.282,management,0.215,service,0.26,marketing,0.24,5,17,Innovation & Technology Management,AI & Human-Computer Interaction
4,public health and nutrition,human-robot interaction,0.731,109,26,operations,0.303,economics,0.183,service,0.654,marketing,0.154,10,17,Healthcare Management & Policy,AI & Human-Computer Interaction
5,organizational theory,robotics and automation engineering,0.731,4166,17,management,0.283,organization,0.231,service,0.412,economics,0.176,2,5,Organizational Behavior & HRM,Innovation & Technology Management
6,data analytics and data science,professional and general service design,0.729,199,38,marketing,0.347,operations,0.261,service,0.579,operations,0.368,9,14,Data Science & Machine Learning,Service Operations & Design
7,public health and nutrition,artificial intelligence and machine learning,0.729,109,100,operations,0.303,economics,0.183,service,0.26,marketing,0.24,10,17,Healthcare Management & Policy,AI & Human-Computer Interaction
8,sociology and social theories,robotics and automation engineering,0.725,526,17,marketing,0.221,organization,0.165,service,0.412,economics,0.176,3,5,Institutional & Social Studies,Innovation & Technology Management
9,public health and nutrition,customer-employee and service provider interactions,0.724,109,70,operations,0.303,economics,0.183,service,0.3,organization,0.243,10,2,Healthcare Management & Policy,Organizational Behavior & HRM
10,public health and nutrition,service ecosystems theory and research,0.723,109,15,operations,0.303,economics,0.183,service,0.733,marketing,0.2,10,3,Healthcare Management & Policy,Institutional & Social Studies
11,human resource management and strategy,human-robot interaction,0.723,610,26,management,0.315,human_resources,0.239,service,0.654,marketing,0.154,2,17,Organizational Behavior & HRM,AI & Human-Computer Interaction
12,information technology and information systems,justice perceptions and theories in service contexts,0.723,1333,13,information_systems,0.392,marketing,0.143,service,0.615,ethics,0.154,12,7,IT & Digital Platform Management,Marketing & Customer Relationship Management
13,data analytics and data science,robotics and automation engineering,0.722,199,17,marketing,0.347,operations,0.261,service,0.412,economics,0.176,9,5,Data Science & Machine Learning,Innovation & Technology Management
14,operations management principles and practices,emotional expression and engagement in service interactions,0.722,975,13,operations,0.643,management,0.224,service,0.615,marketing,0.231,14,1,Service Operations & Design,Consumer Psychology & Decision Making
15,ethical theories and frameworks,customer experience management and design,0.722,262,91,ethics,0.809,marketing,0.05,service,0.462,marketing,0.308,11,15,Sustainability & CSR,Retailing & Customer Experience
16,public health and nutrition,robotics and automation engineering,0.722,109,17,operations,0.303,economics,0.183,service,0.412,economics,0.176,10,5,Healthcare Management & Policy,Innovation & Technology Management
17,general marketing,social work and symbolic interaction,0.721,3278,14,marketing,0.627,service,0.15,service,0.357,human_resources,0.214,7,3,Marketing & Customer Relationship Management,Institutional & Social Studies
